class_id,class_name,precision,recall,mask_AP50,mask_AP50_95
50,meatonly-charsiu,0.4125954173774638,0.27506361158497583,0.18044117647058824,0.14566666666666667
110,meatveg-chicken-cucumber-carrot,0.0,0.0,0.14263157894736844,0.14013157894736844
343,vorta,0.0,0.0,0.15011778115501523,0.13321922492401217
294,vegetarian-lettuce,1.0,0.0,0.1472934173669468,0.13302836134453783
152,meatveg-mincedmeat-potato,0.0,0.0,0.14548913043478254,0.13201630434782602
281,vegetarian-cilantro,0.0,0.0,0.1509601415533619,0.12857161482585214
45,mango,0.0,0.0,0.14661904761904762,0.11729523809523809
194,meatveg-pork-onion,1.0,0.0,0.11698275862068966,0.1135344827586207
145,meatveg-frankfurter-egg-chili,1.0,0.0,0.11055555555555555,0.11055555555555555
125,meatveg-egg-cucumber,0.2636576054001042,0.14285714285714285,0.1425,0.1063720588235294
180,meatveg-pork-cucumber-woodearmushroom,0.051946400349089844,0.15583920104726953,0.33166666666666667,0.0995
197,meatveg-pork-preservedvegetable,1.0,0.0,0.1225,0.098
85,meatveg-beef-carrot-potato-curry,1.0,0.0,0.09045454545454545,0.09045454545454545
124,meatveg-egg-chives,0.0,0.0,0.11775,0.08309166666666667
167,meatveg-pork-carrot-potato,0.0,0.0,0.16146825396825396,0.07239136904761903
336,vegetarian-woodearmushroom,0.0,0.0,0.099,0.0702888888888889
271,vegetarian-cauliflower-broccoli,1.0,0.0,0.07653846153846157,0.0688846153846154
284,vegetarian-driedtofu-braisedinsoy,0.0,0.0,0.06873831775700935,0.06799065420560749
310,vegetarian-seafoodmushroom,1.0,0.0,0.07107142857142855,0.0639642857142857
292,vegetarian-kelp,1.0,0.0,0.09610000000000002,0.06335714285714288
178,meatveg-pork-cucumber,0.0,0.0,0.07680037313432839,0.06315018656716419
171,meatveg-pork-cauliflower,1.0,0.0,0.07450000000000001,0.061625000000000006
175,meatveg-pork-chili-onion,1.0,0.0,0.07107142857142855,0.05685714285714284
1,apple,0.0,0.0,0.10660714285714284,0.04890919267122053
275,vegetarian-chili-eggplant,1.0,0.0,0.05527777777777777,0.04422222222222222
14,chichinga-vaji,1.0,0.0,0.04964285714285714,0.04396428571428572
272,vegetarian-cauliflower-woodearmushroom,0.0,0.0,0.07250000000000001,0.0424375
83,meatveg-beef-broccoli,1.0,0.0,0.04145833333333333,0.04145833333333333
106,meatveg-chicken-celery,1.0,0.0,0.199,0.0398
112,meatveg-chicken-shiitakemushroom,1.0,0.0,0.038269230769230785,0.038269230769230785
74,meatonly-pork-fried,0.0,0.0,0.037824858757062145,0.03754237288135593
104,meatveg-chicken-carrot-potato-curry,1.0,0.0,0.03209677419354837,0.03209677419354838
341,vegetarian-zhacai,1.0,0.0,0.03109375,0.031093749999999996
71,meatonly-pigtrotters,1.0,0.0,0.0309375,0.02784375
79,meatonly-spareribs-boiled,1.0,0.0,0.03690476190476189,0.027153333333333324
322,vegetarian-tofu-carrot,0.0,0.0,0.03015151515151515,0.027136363636363636
186,meatveg-pork-eggplant,1.0,0.0,0.031935483870967736,0.026338709677419348
278,vegetarian-chinesecabbage-chili,1.0,0.0,0.03431034482758621,0.024017241379310345
203,meatveg-pork-tofuskinroll,1.0,0.0,0.02689189189189189,0.021513513513513514
274,vegetarian-chili,1.0,0.0,0.023901391767841278,0.019200917974533608
81,meatonly-spareribs-fried,1.0,0.0,0.019134615384615392,0.019134615384615392
276,vegetarian-chili-potato,1.0,0.0,0.021170212765957448,0.019053191489361705
193,meatveg-pork-lotusroot,1.0,0.0,0.017767857142857137,0.017767857142857137
